q-num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
80,0,0,16,2,4,2,0,0,50,1,24,1,0,27,0,2,0,69,0,0,7,0,0,3,0,12,1,1,1,0,2,1,0,44,0,0,19,0,8,0
81,0,0,8,3,2,10,0,0,19,0,21,0,1,6,0,1,0,21,0,0,27,0,0,1,0,14,3,1,2,0,13,1,1,18,0,0,7,0,10,0
82,0,0,3,3,0,9,0,0,18,0,13,1,2,10,0,0,0,32,0,0,25,0,0,2,0,16,0,2,0,0,10,0,0,16,0,0,7,0,13,0
83,1,0,6,4,1,6,0,0,13,0,12,1,3,2,0,0,0,11,0,0,21,0,0,1,0,16,0,1,1,0,4,1,0,15,0,0,3,0,11,0
84,0,0,8,2,1,10,0,0,8,0,17,1,2,5,0,0,0,16,0,0,19,0,0,2,0,15,3,1,0,0,11,0,0,9,0,0,3,0,13,0
85,1,0,7,3,0,6,0,0,17,0,11,3,1,13,0,1,0,22,0,0,29,0,0,3,0,12,6,1,1,0,10,2,0,7,0,0,3,0,11,1
86,1,0,14,2,0,11,0,0,11,0,16,6,2,5,0,0,0,17,0,0,18,0,0,4,0,15,6,0,1,1,9,0,0,4,0,0,1,0,13,1
87,0,0,6,5,1,6,0,0,6,0,10,1,1,5,0,0,0,19,0,0,22,0,0,4,0,11,0,2,1,1,7,1,0,7,0,0,5,0,13,0
88,0,0,4,4,2,2,0,0,7,0,13,1,1,5,0,1,0,15,0,0,16,0,0,15,0,19,0,2,3,1,15,1,0,12,0,0,2,0,13,0
89,7,0,31,142,4,10,0,0,59,0,61,9,8,68,0,2,0,86,0,0,93,0,0,35,0,36,7,8,19,2,27,1,0,47,0,0,19,0,53,33
90,1,0,22,194,3,32,0,0,69,0,56,4,12,84,0,8,0,126,2,0,109,0,0,27,0,43,10,15,13,1,29,1,0,49,0,0,24,0,55,20
