q-num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,5.0,114.0,50.0,5.0,93.0,61.0,109.0,69.0,57.0,26.0,24.0,58.0,3.0,27.0,49.0,207.0,8.0,149.0,171.0,62.0,8.0,110.0,106.0,8.0,72.0,33.0,47.0,3.0,1.0,28.0,18.0,36.0,83.0,44.0,117.0,38.0,60.0,78.0,12.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,3.0,112.0,47.0,6.0,85.0,99.0,100.0,94.0,29.0,39.0,21.0,64.0,6.0,7.0,57.0,102.0,3.0,56.0,133.0,56.0,30.0,101.0,149.0,4.0,67.0,27.0,58.0,5.0,3.0,15.0,34.0,27.0,72.0,18.0,84.0,46.0,21.0,63.0,16.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0,92.0,23.0,5.0,58.0,88.0,99.0,74.0,25.0,24.0,13.0,62.0,6.0,10.0,37.0,72.0,3.0,60.0,96.0,57.0,26.0,83.0,136.0,9.0,53.0,42.0,31.0,3.0,4.0,28.0,31.0,26.0,87.0,16.0,80.0,52.0,26.0,54.0,14.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,3.0,84.0,35.0,9.0,49.0,67.0,104.0,66.0,19.0,16.0,12.0,69.0,7.0,2.0,29.0,67.0,9.0,33.0,67.0,54.0,25.0,65.0,116.0,7.0,50.0,37.0,20.0,4.0,3.0,19.0,25.0,29.0,76.0,15.0,60.0,26.0,9.0,31.0,19.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0.0,74.0,27.0,2.0,48.0,74.0,94.0,54.0,13.0,17.0,17.0,64.0,4.0,5.0,29.0,59.0,2.0,33.0,60.0,48.0,21.0,53.0,135.0,7.0,44.0,29.0,24.0,1.0,1.0,16.0,38.0,37.0,72.0,9.0,60.0,27.0,10.0,36.0,17.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,98.0,31.0,4.0,50.0,82.0,112.0,62.0,22.0,14.0,11.0,72.0,5.0,15.0,31.0,50.0,1.0,37.0,64.0,40.0,33.0,85.0,82.0,10.0,46.0,27.0,30.0,1.0,3.0,16.0,33.0,49.0,81.0,7.0,58.0,20.0,16.0,25.0,17.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,3.0,95.0,34.0,4.0,51.0,81.0,105.0,35.0,19.0,17.0,16.0,78.0,5.0,6.0,29.0,60.0,4.0,37.0,97.0,57.0,20.0,71.0,85.0,10.0,36.0,25.0,21.0,1.0,2.0,18.0,28.0,45.0,67.0,4.0,60.0,25.0,4.0,34.0,18.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1.0,126.0,37.0,6.0,49.0,86.0,144.0,64.0,7.0,17.0,10.0,105.0,3.0,5.0,40.0,60.0,2.0,37.0,74.0,64.0,26.0,91.0,73.0,10.0,56.0,26.0,19.0,5.0,1.0,14.0,23.0,41.0,77.0,7.0,69.0,37.0,11.0,40.0,24.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0.0,122.0,28.0,5.0,47.0,51.0,160.0,47.0,7.0,22.0,13.0,96.0,4.0,5.0,39.0,62.0,6.0,46.0,77.0,55.0,19.0,73.0,93.0,22.0,43.0,34.0,13.0,6.0,5.0,10.0,34.0,51.0,112.0,12.0,67.0,27.0,5.0,48.0,21.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,21.0,412.0,136.0,153.0,179.0,281.0,330.0,328.0,82.0,81.0,61.0,251.0,13.0,73.0,124.0,308.0,17.0,186.0,613.0,172.0,100.0,296.0,264.0,50.0,205.0,96.0,78.0,11.0,27.0,57.0,78.0,117.0,273.0,47.0,410.0,114.0,87.0,142.0,69.0,42.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,12.0,363.0,106.0,205.0,225.0,305.0,377.0,349.0,84.0,62.0,56.0,281.0,29.0,89.0,138.0,330.0,18.0,259.0,667.0,209.0,117.0,339.0,291.0,45.0,214.0,106.0,105.0,18.0,27.0,78.0,73.0,130.0,277.0,49.0,475.0,131.0,72.0,164.0,73.0,42.0
