keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
08,27,-0.19,0.54,0.77,0.67
1,27,-0.19,0.54,0.70,0.80
100,27,-0.19,0.54,0.66,0.79
10m,27,-0.19,0.54,0.59,0.93
11,27,-0.19,0.54,0.83,0.64
111,27,-0.19,0.54,0.74,0.70
113,27,-0.19,0.54,0.81,0.62
12,27,-0.19,0.54,0.84,0.61
144,27,-0.19,0.54,0.79,0.64
15,27,-0.19,0.54,0.84,0.61
15pc,25,-0.18,0.39,0.53,0.99
16,27,-0.19,0.54,0.83,0.61
18pc,25,-0.18,0.39,0.54,0.98
19,27,-0.19,0.54,0.78,0.68
1pc,13,-0.20,0.50,0.65,0.90
20,27,-0.19,0.54,0.71,0.74
203,27,-0.19,0.54,0.76,0.69
21,27,-0.19,0.54,0.77,0.71
217,27,-0.19,0.54,0.77,0.67
22,27,-0.19,0.54,0.78,0.68
23,27,-0.19,0.54,0.84,0.59
234,27,-0.19,0.54,0.76,0.69
24,27,-0.19,0.54,0.85,0.58
30,27,-0.19,0.54,0.85,0.60
300,27,-0.19,0.54,0.69,0.78
31,27,-0.19,0.54,0.86,0.57
319,27,-0.19,0.54,0.74,0.72
320,27,-0.19,0.54,0.75,0.72
330,27,-0.19,0.54,0.71,0.76
3d,4,-0.17,0.43,0.57,0.99
3d-printer,12,-0.15,0.52,0.55,0.94
3d-printing,19,-0.17,0.51,0.55,0.98
3d-printing-market,10,-0.19,0.51,0.75,0.72
3q,13,-0.20,0.50,0.57,0.97
44pc,25,-0.18,0.39,0.57,0.93
46pc,25,-0.18,0.39,0.52,0.92
49,27,-0.19,0.54,0.83,0.60
4d-printing,4,-0.17,0.43,0.53,0.96
4ir,19,-0.17,0.51,0.57,0.95
51pc,25,-0.18,0.39,0.53,0.88
532,27,-0.19,0.54,0.72,0.75
55,27,-0.19,0.54,0.84,0.62
55pc,25,-0.18,0.39,0.54,0.93
588,27,-0.19,0.54,0.72,0.77
59pc,25,-0.18,0.39,0.57,0.89
5g,19,-0.17,0.51,0.57,0.97
707,27,-0.19,0.54,0.70,0.79
737ng,36,-0.10,0.57,0.55,0.99
747s,36,-0.10,0.57,0.63,0.93
7500,27,-0.19,0.54,0.54,0.93
752,27,-0.19,0.54,0.67,0.81
787,27,-0.19,0.54,0.66,0.85
787s,36,-0.10,0.57,0.62,0.95
7bn,13,-0.20,0.50,0.53,0.98
