cluster_id	cluster_label
0	Applications
21	Applications
4	Biology/Medicine
2	Cryptography
23	Finance
6	Foundations
25	Government
1	Ignore
3	Ignore
8	Ignore
11	Ignore
14	Ignore
15	Ignore
16	Ignore
17	Ignore
18	Ignore
22	Ignore
27	Ignore
29	Ignore
30	Ignore
31	Ignore
32	Ignore
33	Ignore
37	Ignore
40	Ignore
41	Ignore
28	Material Structure
13	Math
39	National
35	Operations
26	People Functions
20	Presentations
7	Problems
12	Profit
38	Quality
9	Quantum
24	Sensors
5	Software
10	Technology
34	Theory
19	University
36	Usefulness
